127.0.0.1 - - [21/Apr/2019:12:10:36 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [21/Apr/2019:12:10:37 +0530] "GET /YoutubeAssignment/ HTTP/1.1" 200 11119
0:0:0:0:0:0:0:1 - - [21/Apr/2019:12:10:38 +0530] "GET /YoutubeAssignment/images/images.png HTTP/1.1" 200 4419
0:0:0:0:0:0:0:1 - - [21/Apr/2019:12:10:38 +0530] "GET /YoutubeAssignment/images/video-default.png HTTP/1.1" 200 5909
0:0:0:0:0:0:0:1 - - [21/Apr/2019:17:42:00 +0530] "GET /YoutubeAssignment/upload.jsp HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [21/Apr/2019:17:42:53 +0530] "GET /YoutubeAssignment/upload.jsp HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [21/Apr/2019:17:42:55 +0530] "GET /YoutubeAssignment/images/images.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2019:17:46:11 +0530] "GET /YoutubeAssignment/upload.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [21/Apr/2019:17:46:35 +0530] "GET /YoutubeAssignment/images/images.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2019:17:56:30 +0530] "GET /YoutubeAssignment/upload.jsp HTTP/1.1" 200 2569
0:0:0:0:0:0:0:1 - - [21/Apr/2019:17:56:54 +0530] "GET /YoutubeAssignment/images/images.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2019:17:57:12 +0530] "GET /YoutubeAssignment/upload.jsp HTTP/1.1" 200 2501
0:0:0:0:0:0:0:1 - - [21/Apr/2019:17:57:13 +0530] "GET /YoutubeAssignment/images/images.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2019:18:53:10 +0530] "GET /YoutubeAssignment/upload.jsp HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [21/Apr/2019:18:53:21 +0530] "GET /YoutubeAssignment/images/images.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2019:18:54:16 +0530] "GET /YoutubeAssignment/upload.jsp HTTP/1.1" 200 2531
0:0:0:0:0:0:0:1 - - [21/Apr/2019:18:54:16 +0530] "GET /YoutubeAssignment/images/images.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2019:18:54:17 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [21/Apr/2019:18:56:19 +0530] "GET /YoutubeAssignment/upload.jsp HTTP/1.1" 200 2552
0:0:0:0:0:0:0:1 - - [21/Apr/2019:18:56:43 +0530] "GET /YoutubeAssignment/images/images.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2019:20:04:37 +0530] "GET /YoutubeAssignment/upload.jsp HTTP/1.1" 200 2558
0:0:0:0:0:0:0:1 - - [21/Apr/2019:20:04:37 +0530] "GET /YoutubeAssignment/images/images.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2019:20:05:03 +0530] "GET /YoutubeAssignment/sign1.jsp HTTP/1.1" 200 1962
0:0:0:0:0:0:0:1 - - [21/Apr/2019:20:05:03 +0530] "GET /YoutubeAssignment/images/login.png HTTP/1.1" 200 7870
0:0:0:0:0:0:0:1 - - [21/Apr/2019:20:05:03 +0530] "GET /YoutubeAssignment/images/googlelogo_color_272x92dp.png HTTP/1.1" 200 13504
